order_id,order_date,item_id,item_description,price
406-6164444-9226706,23 March 2025,B0BZVZYXV5,"SJeware 12 Pairs Solid Cotton Ankle Length Socks for Men & Women, Multicolor, Pack of 12, Free Size",₹199.00
404-7366377-5729911,10 March 2025,B0BTDLWH5X,Boldfit Weight Machine for Body Weight Weighing Machine Digital Bathroom Scale for Human Body Weight Measurement Extra Thick Weighing Scale for Home with Large LCD Display 36Months Warranty-BlackGold,₹399.00
